flawed,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
0,0.6014528979625786,0.517830002438221,0.6439752495632431,0.6403218664131864,5269,3596.2404353708325,7.582300941084503,5.0368555575370975,6,5,4,7,1,46,77,14,13,27,49,99,88,67,28,1486.086217135021,221.4487195447263,914.0161984756318
0,0.6589686705294362,0.3810514813544089,0.7112906514989391,0.6228056754911665,2529,3915.4846614749968,6.889634303345607,5.463185781135754,5,7,0,2,4,57,31,93,3,25,66,93,5,84,7,1041.3880250015122,1012.2108417256577,736.4272498524745
0,0.8291511872661566,0.4823105556769242,0.6958277188781518,0.50142505968231,3466,4938.989252419447,5.357629498361729,8.479336404575367,5,3,9,6,2,49,70,58,95,0,14,67,97,84,40,1080.0241679893734,1177.2525772142917,1350.2030541570325
0,0.42716435798666996,0.3024672166278069,0.7556389519051705,0.6230174256642267,4637,5132.544163987799,4.607738410878769,6.512086447730129,4,8,6,5,5,48,15,10,58,56,39,3,19,36,37,558.167997026643,1426.7971025586314,497.986919314674
0,0.4558915184353826,0.5110450863968651,0.8347409886022825,0.7465593671702415,2283,5652.261077306988,5.092637275970707,5.7448623855107535,4,3,8,0,4,80,59,42,18,6,49,14,4,81,30,244.94010445774205,1090.6857474499477,178.18097977454573
0,0.5529138555276402,0.4270284671295633,0.4298832995319842,0.5495629312733317,4336,4652.808575142392,7.011282103872287,5.687489622205385,4,2,1,4,9,51,24,98,86,54,36,56,1,77,86,681.5006530867579,629.8742900394469,929.8224184189734
0,0.3081097630806461,0.5066395145541454,0.4763136209352279,0.5959344624522591,3620,2818.0838756089906,8.6991024152769,7.583229267681299,4,8,8,8,5,5,13,78,89,66,65,43,73,28,59,483.36747614726204,1427.117948788725,280.34577478654063
0,0.4594774920126604,0.3490987732778377,0.4628841151432049,0.5616430470892448,6807,9168.672282955433,4.3754641576851165,6.412540540780567,4,3,6,7,0,1,81,80,7,34,59,25,97,60,21,933.6809465861829,86.46985094023823,346.55277035403714
0,0.159206780348791,0.3916358867123349,0.39797769242658304,0.5640518019512912,5823,8714.175775394911,4.848196038812055,4.693603815091411,2,3,0,1,1,97,91,54,15,93,66,62,39,47,84,824.3579181086101,572.5474316712089,601.0060788949925
0,0.2971553972319713,0.7735293905228737,0.3260350933299813,0.6414951955081495,3220,2092.9421869086104,5.596785865235638,4.838468530106095,5,4,4,6,2,88,31,53,92,64,96,68,90,7,18,484.2332464130514,626.914254850689,608.516662728188
0,0.4908129916824555,0.5931390072325501,0.6256626844783127,0.5028338054336888,882,6917.909120014731,4.189586965979344,7.256749547885108,5,9,6,6,4,16,89,60,43,28,41,30,6,86,1,553.5572246525187,979.9953830981498,966.9110889853246
0,0.8004283965448051,0.5917683908981325,0.473158739961462,0.6388132868656238,6601,5568.035694666742,6.964376478410507,6.398868012876386,2,4,7,8,8,30,2,63,22,75,10,0,70,70,3,697.9325601302644,261.85287809839093,322.05228306007984
0,0.656746235635785,0.5579314478759231,0.2769065971651927,0.5038902513200201,4792,4093.299043746842,5.354731318548606,5.336273862524056,3,7,9,7,5,55,82,6,34,2,93,67,46,9,24,960.0041845389517,1408.9112047871051,629.5508914582208
